ID;Nombre;IdFutbin;Enlace;Media;Calidad;Equipo;Liga;Pais;Ritmo;Tiro;Pase;Regate;Defensa;Fisico
11663;Leonardo Aponte;37958;https://www.futbin.com/25/player/37958/leonardo-aponte;67;silver;Carabobo FC;Sudamericana;Venezuela;70;30;52;62;68;68
11664;Jon Mikel Aramburu;37959;https://www.futbin.com/25/player/37959/jon-mikel-aramburu;67;silver;Real Sociedad;LALIGA EA SPORTS;Venezuela;71;46;59;62;64;62
11665;Juan Carlos Arana Gómez;37960;https://www.futbin.com/25/player/37960/juan-carlos-arana-gomez;67;silver;R. Racing Club;LALIGA HYPERMOTION;Spain;71;67;54;68;33;62
11666;Ariana Arias Jiménez;37961;https://www.futbin.com/25/player/37961/ariana-arias-jimenez;67;silver;VfL Wolfsburg;GPFBL;Spain;70;66;59;65;31;60
11667;Diego Armas;37962;https://www.futbin.com/25/player/37962/diego-armas;67;silver;Técnico U.;Sudamericana;Ecuador;68;65;65;65;53;64
11668;Yoël Armougom;37963;https://www.futbin.com/25/player/37963/yoel-armougom;67;silver;Clermont Foot 63;Ligue 2 BKT;France;79;42;55;65;60;66
11669;Jaime Arrascaita;37964;https://www.futbin.com/25/player/37964/jaime-arrascaita;67;silver;The Strongest;Libertadores;Bolivia;82;56;61;67;37;46
11670;Ahmet Arslan;37965;https://www.futbin.com/25/player/37965/ahmet-arslan;67;silver;Rot-Weiss Essen;3. Liga;Germany;66;68;67;71;57;67
11671;Andrei Artean;37966;https://www.futbin.com/25/player/37966/andrei-artean;67;silver;CFR 1907 Cluj;SUPERLIGA;Romania;66;62;60;62;65;77
11672;Gjermund Åsen;37967;https://www.futbin.com/25/player/37967/gjermund-asen;67;silver;Lillestrøm SK;Eliteserien;Norway;55;65;69;69;51;70
11673;Jeremy Petris;38934;https://www.futbin.com/25/player/38934/jeremy-petris;67;silver;Sp. Charleroi;1A Pro League;France;76;28;50;56;66;62
11674;Tom Pettersson;38935;https://www.futbin.com/25/player/38935/tom-pettersson;67;silver;Mjällby AIF;Allsvenskan;Sweden;38;51;58;55;64;80
11675;Nicholas Pierini;38936;https://www.futbin.com/25/player/38936/nicholas-pierini;67;silver;Venezia;Serie A TIM;Italy;85;65;61;70;39;62
11676;Simon Piesinger;38937;https://www.futbin.com/25/player/38937/simon-piesinger;67;silver;Wolfsberger AC;Ö. Bundesliga;Austria;33;52;60;56;66;79
11677;Shaquille Pinas;38938;https://www.futbin.com/25/player/38938/shaquille-pinas;67;silver;Hammarby IF;Allsvenskan;Suriname;75;53;59;63;64;72
11678;Markus Pink;38939;https://www.futbin.com/25/player/38939/markus-pink;67;silver;SV Sandhausen;3. Liga;Austria;48;68;55;61;28;76
11679;Mitch Pinnock;38940;https://www.futbin.com/25/player/38940/mitch-pinnock;67;silver;Northampton;EFL League One;England;80;66;68;66;50;71
11680;Gabriel Pirani;38941;https://www.futbin.com/25/player/38941/gabriel-pirani;67;silver;D.C. United;MLS;Brazil;73;58;67;71;39;54
11681;Lucas Pirard;38942;https://www.futbin.com/25/player/38942/lucas-pirard;67;silver;KV Kortrijk;1A Pro League;Belgium;67;65;65;68;33;66
11682;Filippo Pittarello;38943;https://www.futbin.com/25/player/38943/filippo-pittarello;67;silver;Catanzaro;Serie BKT;Italy;71;64;60;62;45;80
11683;Damián Pizarro;38944;https://www.futbin.com/25/player/38944/damian-pizarro;67;silver;Udinese;Serie A TIM;Chile;84;60;46;67;19;76
11684;Johny Placide;38945;https://www.futbin.com/25/player/38945/johny-placide;67;silver;SC Bastia;Ligue 2 BKT;Haiti;63;65;69;66;54;67
11685;Morgan Poaty;38946;https://www.futbin.com/25/player/38946/morgan-poaty;67;silver;Lausanne-Sport;CSSL;Congo;86;49;52;65;63;73
11686;Maddie Pokorny;38947;https://www.futbin.com/25/player/38947/maddie-pokorny;67;silver;Rac. Louisville;NWSL;United States;64;64;63;66;38;59
11687;Peter Pokorný;38948;https://www.futbin.com/25/player/38948/peter-pokorny;67;silver;Śląsk Wrocław;PKO BP Ekstraklasa;Slovakia;63;46;62;61;62;72
11688;Ernest Poku;38949;https://www.futbin.com/25/player/38949/ernest-poku;67;silver;AZ;Eredivisie;Netherlands;92;60;56;72;29;60
11689;Carlos Pomares Rayo;38950;https://www.futbin.com/25/player/38950/carlos-pomares-rayo;67;silver;R. Oviedo;LALIGA HYPERMOTION;Spain;68;56;61;61;64;68
11690;Fabio Ponsi;38951;https://www.futbin.com/25/player/38951/fabio-ponsi;67;silver;Modena;Serie BKT;Italy;72;50;58;64;63;73
11691;Daniel Popa;38952;https://www.futbin.com/25/player/38952/daniel-popa;67;silver;FCSB;SUPERLIGA;Romania;70;65;46;62;26;88
11692;Ovidiu Popescu;38953;https://www.futbin.com/25/player/38953/ovidiu-popescu;67;silver;FC Univ. Cluj;SUPERLIGA;Romania;67;59;63;59;64;78
11693;Segundo Portocarrero;38954;https://www.futbin.com/25/player/38954/segundo-portocarrero;67;silver;Universitario;Libertadores;Ecuador;84;59;60;66;62;60
11694;Romano Postema;38955;https://www.futbin.com/25/player/38955/romano-postema;67;silver;FC Groningen;Eredivisie;Netherlands;79;67;52;64;29;60
11695;Freddie Potts;38956;https://www.futbin.com/25/player/38956/freddie-potts;67;silver;West Ham;Premier League;England;63;52;62;63;64;68
11696;Marvin Potzmann;38957;https://www.futbin.com/25/player/38957/marvin-potzmann;67;silver;FK Austria Wien;Ö. Bundesliga;Austria;71;62;61;67;64;70
11697;Andreas Poulsen;38958;https://www.futbin.com/25/player/38958/andreas-poulsen;67;silver;Silkeborg IF;3F Superliga;Denmark;64;44;60;66;64;71
11698;Gaëtan Poussin;38959;https://www.futbin.com/25/player/38959/gaetan-poussin;67;silver;Real Zaragoza;LALIGA HYPERMOTION;France;68;67;63;67;20;66
11699;Mateusz Praszelik;38960;https://www.futbin.com/25/player/38960/mateusz-praszelik;67;silver;Südtirol;Serie BKT;Poland;70;63;67;71;62;64
11700;Nik Prelec;38961;https://www.futbin.com/25/player/38961/nik-prelec;67;silver;FK Austria Wien;Ö. Bundesliga;Slovenia;67;65;59;66;34;70
11701;Isaac Price;38962;https://www.futbin.com/25/player/38962/isaac-price;67;silver;Standard Liège;1A Pro League;Northern Ireland;66;65;68;68;58;64
11702;Richard Prieto;38963;https://www.futbin.com/25/player/38963/richard-prieto;67;silver;Guaraní;Sudamericana;Paraguay;80;56;62;70;58;52
11703;Oliver Provstgaard;38964;https://www.futbin.com/25/player/38964/oliver-provstgaard;67;silver;Vejle Boldklub;3F Superliga;Denmark;66;39;52;57;65;77
11704;Raffaele Pucino;38965;https://www.futbin.com/25/player/38965/raffaele-pucino;67;silver;Bari;Serie BKT;Italy;75;45;55;65;62;71
11705;Laura Pucks;38966;https://www.futbin.com/25/player/38966/laura-pucks;67;silver;SGS Essen;GPFBL;Germany;46;41;58;62;67;65
11706;David Puclin;38967;https://www.futbin.com/25/player/38967/david-puclin;67;silver;Nantong Zhiyun FC;CSL;Croatia;64;51;62;63;64;67
11707;George Pușcaș;38968;https://www.futbin.com/25/player/38968/george-puscas;67;silver;Bodrum FK;Trendyol Süper Lig;Romania;67;67;53;64;36;72
11708;Jiegei Qian;38969;https://www.futbin.com/25/player/38969/jiegei-qian;67;silver;Zhejiang Pro;CSL;China PR;74;58;62;65;62;74
11709;Giacomo Quagliata;38970;https://www.futbin.com/25/player/38970/giacomo-quagliata;67;silver;Cremonese;Serie BKT;Italy;81;40;54;64;62;65
11710;Xavier Quintillà Guasch;38971;https://www.futbin.com/25/player/38971/xavier-quintilla-guasch;67;silver;Apoel FC;Liga Cyprus;Spain;70;53;62;66;64;64
11711;Sergio Quiroga;38972;https://www.futbin.com/25/player/38972/sergio-quiroga;67;silver;Sarmiento;LPF;Argentina;72;57;68;71;51;47
11712;Kasim Rabihic;38973;https://www.futbin.com/25/player/38973/kasim-rabihic;67;silver;Saarbrücken;3. Liga;Germany;74;63;67;71;28;60
11713;Uroš Radaković;38974;https://www.futbin.com/25/player/38974/uros-radakovic;67;silver;Sivasspor;Trendyol Süper Lig;Serbia;52;33;45;46;67;74
11714;Josip Radošević;38975;https://www.futbin.com/25/player/38975/josip-radosevic;67;silver;Brøndby IF;3F Superliga;Croatia;52;58;60;56;65;79
11715;Hamza Rafia;38976;https://www.futbin.com/25/player/38976/hamza-rafia;67;silver;Lecce;Serie A TIM;Tunisia;60;67;68;74;34;63
11716;Jackson Ragen;38977;https://www.futbin.com/25/player/38977/jackson-ragen;67;silver;Sounders FC;MLS;United States;46;23;50;41;65;77
11717;Sean Raggett;38978;https://www.futbin.com/25/player/38978/sean-raggett;67;silver;Rotherham Utd;EFL League One;England;51;42;43;45;66;84
11718;Mileta Rajović;38979;https://www.futbin.com/25/player/38979/mileta-rajovic;67;silver;Watford;EFL Championship;Denmark;76;66;54;59;26;69
11719;Rodrigo Ramallo;38980;https://www.futbin.com/25/player/38980/rodrigo-ramallo;67;silver;The Strongest;Libertadores;Bolivia;74;68;59;67;40;69
11720;Alex Rambal;38981;https://www.futbin.com/25/player/38981/alex-rambal;67;silver;ADT;Sudamericana;Colombia;55;38;50;58;67;67
11721;Matías Ramírez;38982;https://www.futbin.com/25/player/38982/matias-ramirez;67;silver;Gimnasia;LPF;Argentina;79;58;63;76;35;57
11722;Eric Ramírez;38983;https://www.futbin.com/25/player/38983/eric-ramirez;67;silver;Tigre;LPF;Venezuela;67;69;51;61;28;70
11723;Joel Randall;38984;https://www.futbin.com/25/player/38984/joel-randall;67;silver;Peterborough;EFL League One;England;79;62;64;68;33;51
11724;Vadim Rață;38985;https://www.futbin.com/25/player/38985/vadim-rata;67;silver;FC Univ. Cluj;SUPERLIGA;Moldova;73;62;65;67;63;72
11725;Nicola Ravaglia;38986;https://www.futbin.com/25/player/38986/nicola-ravaglia;67;silver;Sampdoria;Serie BKT;Italy;65;65;61;69;30;65
11726;Raimundo Rebolledo;38987;https://www.futbin.com/25/player/38987/raimundo-rebolledo;67;silver;Unión La Calera;Sudamericana;Chile;72;26;54;65;63;63
11727;Luciano Recalde;38988;https://www.futbin.com/25/player/38988/luciano-recalde;67;silver;Banfield;LPF;Argentina;52;29;42;51;69;70
11728;Alex Redolfi;38989;https://www.futbin.com/25/player/38989/alex-redolfi;67;silver;Mantova;Serie BKT;Italy;57;35;44;46;68;76
11729;Jamie Reid;38990;https://www.futbin.com/25/player/38990/jamie-reid;67;silver;Stevenage;EFL League One;Northern Ireland;76;68;53;66;24;74
11730;Nuno Miguel Reis Lima;38991;https://www.futbin.com/25/player/38991/nuno-miguel-reis-lima;67;silver;Alanyaspor;Trendyol Süper Lig;Portugal;64;31;41;43;68;68
11731;Martin Remacle;38992;https://www.futbin.com/25/player/38992/martin-remacle;67;silver;Korona Kielce;PKO BP Ekstraklasa;Belgium;64;63;67;68;59;67
11732;Marco Rente;38993;https://www.futbin.com/25/player/38993/marco-rente;67;silver;FC Groningen;Eredivisie;Germany;83;29;45;51;66;75
11733;Andrés Rentería;38994;https://www.futbin.com/25/player/38994/andres-renteria;67;silver;Alianza FC;Sudamericana;Colombia;77;67;56;69;24;71
11734;Leandro Requena;38995;https://www.futbin.com/25/player/38995/leandro-requena;67;silver;Cobresal;Libertadores;Argentina;67;64;77;69;59;64
11735;Edisson Restrepo;38996;https://www.futbin.com/25/player/38996/edisson-restrepo;67;silver;Nacional Potosí;Sudamericana;Colombia;80;29;52;49;68;70
11736;Giacomo Ricci;38997;https://www.futbin.com/25/player/38997/giacomo-ricci;67;silver;Bari;Serie BKT;Italy;63;34;55;62;65;66
11737;Matteo Ricci;38998;https://www.futbin.com/25/player/38998/matteo-ricci;67;silver;Sampdoria;Serie BKT;Italy;70;66;67;70;60;65
11738;Rubén Darío Ríos;38999;https://www.futbin.com/25/player/38999/ruben-dario-rios;67;silver;Sportivo Luqueño;Sudamericana;Argentina;65;60;65;66;60;60
11739;Rémy Riou;39000;https://www.futbin.com/25/player/39000/remy-riou;67;silver;Paris FC;Ligue 2 BKT;France;66;66;64;67;48;68
11740;Josh Risdon;39001;https://www.futbin.com/25/player/39001/josh-risdon;67;silver;Perth Glory;A-League;Australia;74;48;58;62;63;80
11741;Robin Risser;39002;https://www.futbin.com/25/player/39002/robin-risser;67;silver;Strasbourg;Ligue 1 Uber Eats;France;68;71;64;69;39;60
11742;Lars Ritzka;39003;https://www.futbin.com/25/player/39003/lars-ritzka;67;silver;FC St. Pauli;Bundesliga;Germany;69;46;61;63;62;68
11743;Braian Rivero;39004;https://www.futbin.com/25/player/39004/braian-rivero;67;silver;Platense;LPF;Argentina;60;43;62;66;63;69
11744;Blás Riveros;39005;https://www.futbin.com/25/player/39005/blas-riveros;67;silver;Talleres;Libertadores;Paraguay;78;36;59;71;59;66
11745;Haydon Roberts;39006;https://www.futbin.com/25/player/39006/haydon-roberts;67;silver;Bristol City;EFL Championship;England;71;47;62;67;64;68
11746;Alex Robertson;39007;https://www.futbin.com/25/player/39007/alex-robertson;67;silver;Cardiff City;EFL Championship;Australia;71;56;66;71;55;62
11747;Matías Rocha;39008;https://www.futbin.com/25/player/39008/matias-rocha;67;silver;Arouca;Liga Portugal;Uruguay;61;51;56;57;67;71
11748;Rúben Alexandre Rocha Lima;39009;https://www.futbin.com/25/player/39009/ruben-alexandre-rocha-lima;67;silver;Estrela Amadora;Liga Portugal;Portugal;60;56;66;67;67;66
11749;Luís Carlos Rocha Rodrigues;39010;https://www.futbin.com/25/player/39010/luis-carlos-rocha-rodrigues;67;silver;Santa Clara;Liga Portugal;Portugal;34;31;36;38;68;69
11750;Jamie Roche;39011;https://www.futbin.com/25/player/39011/jamie-roche;67;silver;Lausanne-Sport;CSSL;Sweden;69;53;58;64;66;74
11751;Antônio Rodrigues;39012;https://www.futbin.com/25/player/39012/antonio-rodrigues;67;silver;SJ Earthquakes;MLS;Brazil;67;39;44;45;67;73
11752;Rúben da Rocha Rodrigues;39013;https://www.futbin.com/25/player/39013/ruben-da-rocha-rodrigues;67;silver;Oxford United;EFL Championship;Portugal;71;63;65;68;38;60
11753;Vicente Rodríguez;39014;https://www.futbin.com/25/player/39014/vicente-rodriguez;67;silver;Caracas F.C.;Libertadores;Venezuela;66;59;65;66;66;66
11754;Ignacio Rodríguez;39015;https://www.futbin.com/25/player/39015/ignacio-rodriguez;67;silver;AVS Futebol SAD;Liga Portugal;Uruguay;49;28;30;33;70;74
11755;Maximiliano Rodríguez;39016;https://www.futbin.com/25/player/39016/maximiliano-rodriguez;67;silver;Dep. Riestra;LPF;Argentina;72;47;59;57;66;60
11756;Alberto Rodríguez Baró;39017;https://www.futbin.com/25/player/39017/alberto-rodriguez-baro;67;silver;CD Mirandés;LALIGA HYPERMOTION;Spain;51;29;46;48;68;58
11757;Alberto Rodríguez Martín;39018;https://www.futbin.com/25/player/39018/alberto-rodriguez-martin;67;silver;ATK Mohun Bagan;Hero ISL;Spain;54;35;50;47;68;70
11758;Alvaro Rodríguez Pérez;39019;https://www.futbin.com/25/player/39019/alvaro-rodriguez-perez;67;silver;Albacete BP;LALIGA HYPERMOTION;Spain;58;43;62;61;65;67
11759;Marco Rojas;39020;https://www.futbin.com/25/player/39020/marco-rojas;67;silver;Well. Phoenix;A-League;New Zealand;75;65;64;71;45;38
11760;Esteban Rolón;39021;https://www.futbin.com/25/player/39021/esteban-rolon;67;silver;Belgrano;Sudamericana;Argentina;63;53;63;64;65;65
11761;Filippo Romagna;39022;https://www.futbin.com/25/player/39022/filippo-romagna;67;silver;Sassuolo;Serie BKT;Italy;35;32;49;56;70;57
11762;Fernando Román;39023;https://www.futbin.com/25/player/39023/fernando-roman;67;silver;Olimpia;Sudamericana;Paraguay;78;45;55;62;63;62
11763;Alin Roman;39024;https://www.futbin.com/25/player/39024/alin-roman;67;silver;Politehnica Iași;SUPERLIGA;Romania;73;63;66;68;34;59
11764;Iván Romero de Ávila;39025;https://www.futbin.com/25/player/39025/ivan-romero-de-avila;67;silver;Levante UD;LALIGA HYPERMOTION;Spain;84;64;59;69;42;59
11765;Tuur Rommens;39026;https://www.futbin.com/25/player/39026/tuur-rommens;67;silver;KVC Westerlo;1A Pro League;Belgium;69;41;60;67;61;63
11766;Frank Ronstadt;39027;https://www.futbin.com/25/player/39027/frank-ronstadt;67;silver;Kaiserslautern;Bundesliga 2;Germany;76;51;59;66;61;67
11767;Juan Antonio Ros Martínez;39028;https://www.futbin.com/25/player/39028/juan-antonio-ros-martinez;67;silver;Albacete BP;LALIGA HYPERMOTION;Spain;68;47;59;59;67;69
11768;Siro Rosane;39029;https://www.futbin.com/25/player/39029/siro-rosane;67;silver;Barracas Central;LPF;Argentina;64;48;59;61;64;73
11769;Guillermo Rosas Alonso;39030;https://www.futbin.com/25/player/39030/guillermo-rosas-alonso;67;silver;R. Sporting;LALIGA HYPERMOTION;Spain;78;39;57;66;61;73
11770;Damian Roßbach;39031;https://www.futbin.com/25/player/39031/damian-robach;67;silver;Hansa Rostock;3. Liga;Germany;56;37;50;47;68;75
11771;Raphael Rossi Branco;39032;https://www.futbin.com/25/player/39032/raphael-rossi-branco;67;silver;Radomiak Radom;PKO BP Ekstraklasa;Brazil;76;37;48;54;64;80
11772;Oliver Burke;40720;https://www.futbin.com/25/player/40720/oliver-burke;67;silver;SV Werder Bremen;Bundesliga;Scotland;87;63;61;62;37;73
11773;Oriol Busquets Mas;40721;https://www.futbin.com/25/player/40721/oriol-busquets-mas;67;silver;Arouca;Liga Portugal;Spain;36;43;64;61;64;67
11774;Adrián Butzke Benavides;40722;https://www.futbin.com/25/player/40722/adrian-butzke-benavides;67;silver;Nacional;Liga Portugal;Spain;71;66;46;64;23;58
11775;Zico Buurmeester;40723;https://www.futbin.com/25/player/40723/zico-buurmeester;67;silver;AZ;Eredivisie;Netherlands;60;60;65;67;61;69
11776;Cătălin Căbuz;40724;https://www.futbin.com/25/player/40724/catalin-cabuz;67;silver;FC Hermannstadt;SUPERLIGA;Romania;69;62;62;72;35;63
11777;Elvin Cafarquliyev;40725;https://www.futbin.com/25/player/40725/elvin-cafarquliyev;67;silver;Qarabağ FK;Liga Azerbaijan;Azerbaijan;72;46;62;67;63;63
11778;Ousmane Camara;40726;https://www.futbin.com/25/player/40726/ousmane-camara;67;silver;Angers SCO;Ligue 1 Uber Eats;France;37;47;57;57;65;77
11779;Ibrahima Camará;40727;https://www.futbin.com/25/player/40727/ibrahima-camara;67;silver;Boavista FC;Liga Portugal;Guinea;55;47;62;63;65;72
11780;Alfred Canales;40728;https://www.futbin.com/25/player/40728/alfred-canales;67;silver;Uni. Católica;Sudamericana;Chile;67;56;61;67;59;65
11781;Jhonatan Candia;40729;https://www.futbin.com/25/player/40729/jhonatan-candia;67;silver;Barracas Central;LPF;Uruguay;68;67;63;67;36;63
11782;Mihai Căpățînă;40730;https://www.futbin.com/25/player/40730/mihai-capatina;67;silver;Univ. Craiova;SUPERLIGA;Romania;67;63;65;67;60;70
11783;Alessandro Capello;40731;https://www.futbin.com/25/player/40731/alessandro-capello;67;silver;Carrarese Calcio;Serie BKT;Italy;78;67;57;64;30;62
11784;Nicolas Capraro;40732;https://www.futbin.com/25/player/40732/nicolas-capraro;67;silver;Barracas Central;LPF;Argentina;71;33;49;56;67;74
11785;Wagner Fabrício Cardoso de Pina;40733;https://www.futbin.com/25/player/40733/wagner-fabricio-cardoso-de-pina;67;silver;Estoril Praia;Liga Portugal;Cape Verde Islands;76;43;60;68;53;62
11786;André Alexandre Carreira Sousa;40734;https://www.futbin.com/25/player/40734/andre-alexandre-carreira-sousa;67;silver;Nacional;Liga Portugal;Portugal;60;67;67;68;59;73
11787;Julio Cascante;40735;https://www.futbin.com/25/player/40735/julio-cascante;67;silver;Austin FC;MLS;Costa Rica;57;37;47;54;65;72
11788;Dan Casey;40736;https://www.futbin.com/25/player/40736/dan-casey;67;silver;Motherwell;cinch Prem;Republic of Ireland;52;37;45;51;67;76
11789;Jesus Castillo;40738;https://www.futbin.com/25/player/40738/jesus-castillo;67;silver;Alianza Lima;Libertadores;Peru;61;58;59;61;65;66
11790;Jesús Castillo;40739;https://www.futbin.com/25/player/40739/jesus-castillo;67;silver;Gil Vicente;Liga Portugal;Peru;56;57;64;63;61;69
11791;David Castro Pazos;40740;https://www.futbin.com/25/player/40740/david-castro-pazos;67;silver;Racing de Ferrol;LALIGA HYPERMOTION;Spain;62;34;58;61;65;79
11792;Yoann Cathline;40741;https://www.futbin.com/25/player/40741/yoann-cathline;67;silver;FC Utrecht;Eredivisie;France;80;61;60;71;45;55
11793;Cristian Cauz;40742;https://www.futbin.com/25/player/40742/cristian-cauz;67;silver;Modena;Serie BKT;Italy;75;50;59;62;66;67
11794;Tomás Cavanagh;40743;https://www.futbin.com/25/player/40743/tomas-cavanagh;67;silver;Vélez Sarsfield;LPF;Argentina;82;36;56;66;61;64
11795;José Luis Cazares;40745;https://www.futbin.com/25/player/40745/jose-luis-cazares;67;silver;Técnico U.;Sudamericana;Ecuador;69;50;61;63;64;70
11796;Joseph Ceesay;40746;https://www.futbin.com/25/player/40746/joseph-ceesay;67;silver;Cesena;Serie BKT;Sweden;92;54;58;66;58;71
11797;Alberto Cerri;40747;https://www.futbin.com/25/player/40747/alberto-cerri;67;silver;Como;Serie A TIM;Italy;40;71;51;61;37;73
11798;Edwin Cerrillo;40748;https://www.futbin.com/25/player/40748/edwin-cerrillo;67;silver;LA Galaxy;MLS;United States;63;46;60;63;63;71
11799;Boris Cespedes;40749;https://www.futbin.com/25/player/40749/boris-cespedes;67;silver;Yverdon Sport FC;CSSL;Bolivia;66;53;59;65;63;69
11800;Daniel Chacón;40750;https://www.futbin.com/25/player/40750/daniel-chacon;67;silver;Colorado Rapids;MLS;Costa Rica;62;22;43;46;68;63
11801;Moutir Chajia;40751;https://www.futbin.com/25/player/40751/moutir-chajia;67;silver;Como;Serie A TIM;Belgium;75;64;67;73;34;34
11802;Shea Charles;40752;https://www.futbin.com/25/player/40752/shea-charles;67;silver;Southampton;Premier League;Northern Ireland;59;47;65;61;65;69
11803;Yevgen Cheberko;40753;https://www.futbin.com/25/player/40753/yevgen-cheberko;67;silver;Columbus Crew;MLS;Ukraine;68;31;59;64;66;69
11804;Samir Chergui;40754;https://www.futbin.com/25/player/40754/samir-chergui;67;silver;Paris FC;Ligue 2 BKT;France;52;43;62;63;68;63
11805;Lallianzuala Chhangte;40755;https://www.futbin.com/25/player/40755/lallianzuala-chhangte;67;silver;Mumbai City FC;Hero ISL;India;87;62;61;66;37;65
11806;Riccardo Chiarello;40756;https://www.futbin.com/25/player/40756/riccardo-chiarello;67;silver;Cesena;Serie BKT;Italy;68;61;63;69;46;62
11807;Daniel Chima Chukwu;40757;https://www.futbin.com/25/player/40757/daniel-chima-chukwu;67;silver;Chennaiyin FC;Hero ISL;Nigeria;61;69;51;61;30;82
11808;Alexandru Chipciu;40758;https://www.futbin.com/25/player/40758/alexandru-chipciu;67;silver;FC Univ. Cluj;SUPERLIGA;Romania;68;64;64;66;56;69
11809;Dorine Nina Chuigoué;40759;https://www.futbin.com/25/player/40759/dorine-nina-chuigoue;67;silver;Real Betis;Liga F;Cameroon;51;48;61;59;67;68
11810;Jeyson Chura;40760;https://www.futbin.com/25/player/40760/jeyson-chura;67;silver;The Strongest;Libertadores;Bolivia;88;58;58;69;23;55
11811;Jonathan Cissé;40761;https://www.futbin.com/25/player/40761/jonathan-cisse;67;silver;SC Oțelul Galați;SUPERLIGA;Côte d'Ivoire;65;35;42;53;65;80
11812;Jenna Clark;40762;https://www.futbin.com/25/player/40762/jenna-clark;67;silver;Liverpool;Barclays WSL;Scotland;70;35;51;63;69;61
11813;Enrique Clemente Maza;40763;https://www.futbin.com/25/player/40763/enrique-clemente-maza;67;silver;UD Las Palmas;LALIGA EA SPORTS;Spain;68;32;52;54;67;70
11814;Denilho Cleonise;40764;https://www.futbin.com/25/player/40764/denilho-cleonise;67;silver;RKC Waalwijk;Eredivisie;Netherlands;88;60;61;69;34;57
11815;Zach Clough;40765;https://www.futbin.com/25/player/40765/zach-clough;67;silver;Adelaide United;A-League;England;68;61;65;69;45;62
11816;Josh Cohen;40766;https://www.futbin.com/25/player/40766/josh-cohen;67;silver;Atlanta United;MLS;United States;67;66;62;63;28;68
11817;James Collins;40767;https://www.futbin.com/25/player/40767/james-collins;67;silver;Derby County;EFL Championship;Republic of Ireland;53;66;55;64;41;78
11818;Archie Collins;40768;https://www.futbin.com/25/player/40768/archie-collins;67;silver;Peterborough;EFL League One;England;72;57;64;68;62;70
11819;Rubin Colwill;40769;https://www.futbin.com/25/player/40769/rubin-colwill;67;silver;Cardiff City;EFL Championship;Wales;66;63;63;68;45;66
11820;Luca Connell;40770;https://www.futbin.com/25/player/40770/luca-connell;67;silver;Barnsley;EFL League One;Republic of Ireland;65;58;66;66;60;70
11821;Jomaine Consbruch;40771;https://www.futbin.com/25/player/40771/jomaine-consbruch;67;silver;Fürth;Bundesliga 2;Germany;73;57;62;70;55;49
11822;Christian Conteh;40772;https://www.futbin.com/25/player/40772/christian-conteh;67;silver;Braunschweig;Bundesliga 2;Germany;93;51;51;74;28;57
11823;Sirlord Conteh;40773;https://www.futbin.com/25/player/40773/sirlord-conteh;67;silver;Heidenheim;Bundesliga;Germany;93;63;54;70;37;63
11824;Nicolás Contin;40774;https://www.futbin.com/25/player/40774/nicolas-contin;67;silver;Tigre;LPF;Argentina;71;63;52;63;33;71
11825;Nikita Contini;40775;https://www.futbin.com/25/player/40775/nikita-contini;67;silver;SSC Napoli;Serie A TIM;Ukraine;68;66;61;69;48;64
11826;Alberto Contrera;40776;https://www.futbin.com/25/player/40776/alberto-contrera;67;silver;S. Ameliano;Sudamericana;Paraguay;71;64;70;66;44;65
11827;Mauro Coppolaro;40777;https://www.futbin.com/25/player/40777/mauro-coppolaro;67;silver;Carrarese Calcio;Serie BKT;Italy;68;42;53;57;67;73
11828;Gabriele Corbo;40778;https://www.futbin.com/25/player/40778/gabriele-corbo;67;silver;CF Montréal;MLS;Italy;56;40;49;57;66;68
11829;Marius Corbu;40779;https://www.futbin.com/25/player/40779/marius-corbu;67;silver;Apoel FC;Liga Cyprus;Romania;68;59;64;69;52;62
11830;Harry Cornick;40780;https://www.futbin.com/25/player/40780/harry-cornick;67;silver;Bristol City;EFL Championship;England;80;65;59;68;37;60
11831;Niccolò Corrado;40781;https://www.futbin.com/25/player/40781/niccolo-corrado;67;silver;Brisigonza;Serie BKT;Italy;67;47;66;67;64;60
11832;Lincoln Corrêa dos Santos;40782;https://www.futbin.com/25/player/40782/lincoln-correa-dos-santos;67;silver;SCR Altach;Ö. Bundesliga;Brazil;72;66;58;70;22;63
11833;Patrick Correia Andrade;40783;https://www.futbin.com/25/player/40783/patrick-correia-andrade;67;silver;Qarabağ FK;Liga Azerbaijan;Cape Verde Islands;67;57;64;68;63;65
11834;Luciano Cosentino;40784;https://www.futbin.com/25/player/40784/luciano-cosentino;67;silver;Cerro Largo;Sudamericana;Uruguay;79;55;61;68;25;46
11835;Marcel Costly;40785;https://www.futbin.com/25/player/40785/marcel-costly;67;silver;FC Ingolstadt 04;3. Liga;Germany;88;52;56;67;56;71
11836;Guillermo Cotugno;40786;https://www.futbin.com/25/player/40786/guillermo-cotugno;67;silver;Racing Club;Sudamericana;Uruguay;52;26;41;40;68;70
11837;Ismaila Coulibaly;40787;https://www.futbin.com/25/player/40787/ismaila-coulibaly;67;silver;Sheffield Utd;EFL Championship;Mali;77;63;62;70;62;68
11838;Hayden Coulson;40788;https://www.futbin.com/25/player/40788/hayden-coulson;67;silver;Blackpool;EFL League One;England;76;38;56;66;62;61
11839;Benjamin Cremaschi;40789;https://www.futbin.com/25/player/40789/benjamin-cremaschi;67;silver;Inter Miami CF;MLS;United States;74;57;63;71;58;57
